,PLAYER_NAME,TEAM_ABBREVIATION,GP,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE,POSS,FGM_PG,FGA_PG,FG_PCT,season
0,AJ Price,IND,44,0.614,12.9,98.9,97.7,1.2,0.264,2.69,28.0,0.021,0.092,0.054,10.4,0.414,0.454,0.171,93.5,0.095,1118,1.3,4.0,0.339,2012
1,Aaron Gray,TOR,49,0.347,16.6,96.4,106.5,-10.0,0.055,0.53,10.4,0.105,0.265,0.183,19.6,0.516,0.526,0.134,90.64,0.078,1535,1.7,3.3,0.516,2012
2,Al Harrington,DEN,64,0.563,27.5,107.5,102.5,5.0,0.083,0.79,8.4,0.042,0.181,0.113,10.6,0.512,0.535,0.241,95.95,0.104,3516,5.4,12.1,0.446,2012
3,Al Horford,ATL,11,0.636,31.6,108.6,100.3,8.3,0.113,1.5,15.6,0.077,0.156,0.116,10.4,0.553,0.585,0.174,90.07,0.13,652,5.2,9.4,0.553,2012
4,Al Jefferson,UTA,61,0.525,34.0,108.8,104.8,4.1,0.113,2.16,10.1,0.067,0.223,0.146,4.7,0.493,0.52,0.258,92.81,0.154,4010,8.5,17.2,0.492,2012
5,Al-Farouq Aminu,NOH,66,0.318,22.4,98.6,98.9,-0.2,0.074,0.73,11.5,0.07,0.148,0.11,15.9,0.429,0.481,0.159,90.12,0.075,2759,2.3,5.5,0.411,2012
6,Alan Anderson,TOR,17,0.412,27.1,96.3,99.0,-2.7,0.1,1.04,12.6,0.018,0.057,0.038,12.1,0.472,0.519,0.186,89.7,0.052,860,3.2,8.4,0.387,2012
7,Alec Burks,UTA,59,0.559,15.9,101.7,103.7,-1.9,0.1,1.08,10.5,0.059,0.081,0.069,9.8,0.45,0.506,0.212,93.96,0.081,1843,2.6,6.1,0.429,2012
8,Alonzo Gee,CLE,63,0.317,29.0,99.7,105.6,-5.9,0.109,0.99,13.0,0.053,0.123,0.087,13.1,0.452,0.516,0.184,92.88,0.089,3533,3.6,8.7,0.412,2012
9,Amar'e Stoudemire,NYK,47,0.468,32.8,99.9,101.8,-1.9,0.063,0.46,5.6,0.069,0.176,0.121,12.2,0.487,0.541,0.248,94.8,0.124,3055,6.7,13.9,0.483,2012
10,Amir Johnson,TOR,64,0.344,24.3,101.2,100.6,0.6,0.085,0.84,14.4,0.102,0.166,0.135,17.1,0.579,0.6,0.141,90.41,0.096,2924,3.1,5.3,0.576,2012
11,Anderson Varejao,CLE,25,0.4,31.4,104.3,105.3,-1.0,0.086,0.96,12.8,0.135,0.241,0.186,13.4,0.514,0.542,0.163,93.94,0.129,1535,4.6,8.9,0.514,2012
12,Andray Blatche,WAS,26,0.269,24.1,95.9,108.3,-12.4,0.076,0.76,8.4,0.062,0.196,0.122,11.1,0.384,0.415,0.214,94.73,0.07,1236,3.6,9.4,0.38,2012
13,Andre Emmett,NJN,6,0.333,7.5,92.9,98.9,-5.9,0.036,0.5,7.1,0.061,0.078,0.071,14.3,0.571,0.618,0.14,91.92,0.092,85,0.7,1.2,0.571,2012
14,Andre Iguodala,PHI,62,0.532,35.6,102.2,97.0,5.2,0.241,2.95,28.8,0.025,0.144,0.085,9.8,0.514,0.537,0.176,90.73,0.134,4176,4.6,10.2,0.454,2012
15,Andre Miller,DEN,66,0.576,27.4,109.1,104.4,4.6,0.365,2.49,35.5,0.032,0.092,0.064,14.2,0.455,0.51,0.198,94.66,0.108,3569,3.7,8.4,0.438,2012
16,Andrea Bargnani,TOR,31,0.419,33.3,102.5,104.7,-2.3,0.113,0.88,8.8,0.026,0.148,0.089,10.0,0.467,0.538,0.288,90.4,0.129,1943,6.7,15.6,0.432,2012
